9,289535.5619,288953.3185,-144400.2882,76,0.6498025181171427,0.16642152542724173,0.18377595645561562
12,289179.6309,288574.4344,-144207.8164,79,0.6427095222216862,0.20724120001889132,0.1500492777594225
16,278916.3406,278227.0025,-139022.9815,90,0.024823398898127343,0.7485259768745235,0.2266506242273493
18,278753.9139,278026.3399,-138917.591,95,0.022073313247818038,0.6497822112775719,0.3281444754746102
30,278753.9139,278026.3399,-138917.591,95,0.0029967351485171924,0.8466446905304161,0.15035857432106664
25,278282.4764,277501.3829,-138648.0243,102,0.030046023326636202,0.8549190098605919,0.11503496681277194
18,278503.8545,277806.8687,-138811.903,91,0.0025174600445588805,0.9449608006173214,0.05252173933811971
30,278503.8545,277806.8687,-138811.903,91,0.02168552804374387,0.4754020912852706,0.5029123806709856
26,278910.6188,278114.2364,-138952.4246,104,0.012480808397841995,0.7638121006604672,0.22370709094169075
3,302700.4559,302240.6679,-151060.1021,60,0.03202028982841334,0.5266798232111962,0.4412998869603905
28,278376.6831,277549.7259,-138666.115,108,0.020487395853643942,0.5280328867747858,0.4514797173715703
29,277485.526,276643.2829,-138210.8656,110,0.2192043364857501,0.4776202355607247,0.30317542795352503
